year,period,Industry,Buildings,Transport,Power
2020,1,0,0,0,999.314125
2020,2,0,0,0,974.62546
2020,3,0,0,0,907.942989
2020,4,0,0,0,834.569197
2020,5,0,0,0,799.266712
2020,6,0,0,0,787.960688
2020,7,0,0,0,807.342444
2020,8,0,0,0,802.26627
2020,9,0,0,0,859.719333
2020,10,0,0,0,994.699422
2020,11,0,0,0,1077.071886
2020,12,0,0,0,1077.994827
2020,13,0,0,0,1031.617053
2020,14,0,0,0,900.790198
2020,15,0,0,0,848.874779
2020,16,0,0,0,838.26096
2020,17,0,0,0,875.409326
2020,18,0,0,0,1037.846903
2020,19,0,0,0,1119.757897
2020,20,0,0,0,1156.675528
2020,21,0,0,0,1132.679068
2020,22,0,0,0,1088.608645
2020,23,0,0,0,1039.92352
2020,24,0,0,0,970.472226
2020,25,0,0,0,907.712253
2020,26,0,0,0,838.26096
2020,27,0,0,0,827.185671
2020,28,0,0,0,794.190538
2020,29,0,0,0,790.498775
2020,30,0,0,0,803.419946
2020,31,0,0,0,861.79595
2020,32,0,0,0,858.565657
2020,33,0,0,0,957.78179
2020,34,0,0,0,1050.306603
2020,35,0,0,0,1034.15514
2020,36,0,0,0,1007.159122
2020,37,0,0,0,975.779136
2020,38,0,0,0,949.706059
2020,39,0,0,0,936.784888
2020,40,0,0,0,902.174609
2020,41,0,0,0,966.318993
2020,42,0,0,0,1193.823894
2020,43,0,0,0,1252.199898
2020,44,0,0,0,1321.651191
2020,45,0,0,0,1241.586079
2020,46,0,0,0,1129.21804
2020,47,0,0,0,1050.998809
2020,48,0,0,0,955.705174
2020,49,0,0,0,886.25388
2020,50,0,0,0,817.264057
2020,51,0,0,0,769.732607
2020,52,0,0,0,757.965112
2020,53,0,0,0,742.044384
2020,54,0,0,0,761.887611
2020,55,0,0,0,795.113479
2020,56,0,0,0,792.344656
2020,57,0,0,0,847.721103
2020,58,0,0,0,973.702519
2020,59,0,0,0,999.314125
2020,60,0,0,0,975.08693
2020,61,0,0,0,961.473554
2020,62,0,0,0,907.250783
2020,63,0,0,0,871.025358
2020,64,0,0,0,866.410654
2020,65,0,0,0,899.405786
2020,66,0,0,0,1100.37614
2020,67,0,0,0,1188.286249
2020,68,0,0,0,1233.741083
2020,69,0,0,0,1192.439483
2020,70,0,0,0,1115.604663
2020,71,0,0,0,1023.772056
2020,72,0,0,0,955.012968
2020,73,0,0,0,880.946971
2020,74,0,0,0,831.338904
2020,75,0,0,0,806.880974
2020,76,0,0,0,784.730395
2020,77,0,0,0,784.96113
2020,78,0,0,0,816.802587
2020,79,0,0,0,836.415078
2020,80,0,0,0,900.097992
2020,81,0,0,0,934.708271
2020,82,0,0,0,1055.844248
2020,83,0,0,0,1067.611743
2020,84,0,0,0,972.318108
2020,85,0,0,0,952.474881
2020,86,0,0,0,967.703404
2020,87,0,0,0,1026.079408
2020,88,0,0,0,981.31678
2020,89,0,0,0,971.164432
2020,90,0,0,0,1125.526277
2020,91,0,0,0,1201.668891
2020,92,0,0,0,1253.122839
2020,93,0,0,0,1245.739313
2020,94,0,0,0,1167.058611
2020,95,0,0,0,1060.228217
2020,96,0,0,0,974.856195
2020,97,0,0,0,905.404901
2020,98,0,0,0,826.493465
2020,99,0,0,0,802.26627
2020,100,0,0,0,782.423043
2020,101,0,0,0,778.962015
2020,102,0,0,0,802.958475
2020,103,0,0,0,811.957148
2020,104,0,0,0,874.717121
2020,105,0,0,0,945.78356
2020,106,0,0,0,1049.152927
2020,107,0,0,0,1051.229544
2020,108,0,0,0,1016.38853
2020,109,0,0,0,983.624132
2020,110,0,0,0,959.396937
2020,111,0,0,0,957.089585
2020,112,0,0,0,906.097107
2020,113,0,0,0,928.247686
2020,114,0,0,0,1042.461607
2020,115,0,0,0,1150.676413
2020,116,0,0,0,1205.360654
2020,117,0,0,0,1199.361539
2020,118,0,0,0,1122.295984
2020,119,0,0,0,1022.15691
2020,120,0,0,0,952.244146
2020,121,0,0,0,891.56079
2020,122,0,0,0,833.646256
2020,123,0,0,0,799.958918
2020,124,0,0,0,756.119231
2020,125,0,0,0,762.118346
2020,126,0,0,0,772.039959
