unit_name,cap_mw,fuel_type,decom_start_existing_cap,life_time,decom_start_new,final_life_cap,max_inv_period,cap_factor,st_cost,cost_on,min_load_year,efficiency,cost_no_fuel,cap_inv_cost_USD_MW,RampingCost,CO2Intensity,technology,fuel2,RampUpRate,RampDownRate,PrimaryReserve,SecondaryReserve,Stab_factor,CHPType,FCType,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat
HEZakucac,0,Hydro,15,25,20,1,0,1,0,0,0,0.899311528,0,1000,0,0,HDAM,WAT,1,0.05,Y,Y,1,N,N,0,0,0,0,,,
Bovis,0,Biomass,15,25,20,0.1,2000,1,0.05,0,0,0.35,0,3400,0.5,0.123,ICEN,BIO,0.2,0.2,Y,Y,1,N,N,,,,,,,
HR_WindPP,0,Wind,15,25,20,0.1,2000,1,0,0,0,1,0,1100,0,0,WTON,WIN,1,1,Y,N,0.1,N,N,,,,,,,
EL-TOZagreb,0,Gas,15,25,20,0.1,2000,1,2.97,0,0,0.15,0,1200,0.5,0.398,STUR,GAS,0.6,0.6,Y,Y,1,N,N,,,,,,,
NEKrskoHR,0,Nuclear,15,25,20,0.1,0,1,17.4,0,0,0.57,0,1000,1.8,0,STUR,NUC,0.25,0.25,Y,Y,1,N,N,,,,,,,
TEPlomin1,0,Coal,15,25,20,0.1,0,1,4.95,0,0,0.4,0,1000,1.8,1.062,STUR,HRD,0.25,0.25,Y,Y,1,N,N,,,,,,,
HR_SolarPP,200,Solar,10,25,20,0.1,7000,1,0,0,0,1,0,600,0,0,PHOT,SUN,1,1,N,N,1,N,N,,,,,,,
TERijeka,6000,Oil,5,25,20,0.1,2000,1,31.815,0,0,0.38,0,1000,1.8,0.517,STUR,OIL,0.25,0.25,Y,Y,1,N,N,,,,,,,
TERijeka2,6000,Oil,15,25,20,0.1,2000,1,31.815,0,0,0.38,0,1000,1.8,0.517,STUR,OIL,0.25,0.25,Y,Y,1,N,N,,,,,,,
TERijeka3,0,Gas,15,25,20,0.1,2000,1,31.815,0,0,0.38,0,1000,1.8,0.517,STUR,OIL,0.25,0.25,Y,Y,1,Y,N,0,0,0,0,0,0,0
DieselTest,0,Diesel,15,25,20,1,0,1,31.815,0,0,0.38,0,1000,1.8,0.517,STUR,OIL,0.25,0.25,Y,Y,1,N,N,,,,,,,
DieselTestLPG,0,LPG,15,25,20,1,0,1,31.815,0,0,0.38,0,1000,1.8,0.517,STUR,OIL,0.25,0.25,Y,Y,1,N,N,,,,,,,
