year,period,TERijeka3,general_demand
2020,1,0,618.007708
2020,2,0,616.771871
2020,3,0,640.25277
2020,4,0,645.196116
2020,5,0,655.082811
2020,6,0,662.497832
2020,7,0,669.912854
2020,8,0,668.677017
2020,9,0,614.300197
2020,10,0,529.027456
2020,11,0,451.169736
2020,12,0,377.019526
2020,13,0,320.171033
2020,14,0,288.039276
2020,15,0,291.746786
2020,16,0,327.586054
2020,17,0,381.962874
2020,18,0,422.745489
2020,19,0,461.056431
2020,20,0,488.24484
2020,21,0,519.140761
2020,22,0,553.744192
2020,23,0,588.347623
2020,24,0,621.715217
2020,25,0,683.507059
2020,26,0,755.185595
2020,27,0,821.920783
2020,28,0,857.760051
2020,29,0,894.835156
2020,30,0,924.495239
2020,31,0,952.919486
2020,32,0,966.51369
2020,33,0,917.080218
2020,34,0,814.505762
2020,35,0,710.695469
2020,36,0,620.47938
2020,37,0,558.687539
2020,38,0,521.612435
2020,39,0,519.140761
2020,40,0,550.036681
2020,41,0,620.47938
2020,42,0,681.035384
2020,43,0,723.053836
2020,44,0,765.07229
2020,45,0,807.090741
2020,46,0,851.580867
2020,47,0,892.363482
2020,48,0,935.617771
2020,49,0,956.626996
2020,50,0,977.636222
2020,51,0,992.466264
2020,52,0,1003.588796
2020,53,0,1012.239653
2020,54,0,1019.654674
2020,55,0,1022.126348
2020,56,0,1022.126348
2020,57,0,945.504465
2020,58,0,756.421432
2020,59,0,574.753419
2020,60,0,422.745489
2020,61,0,313.991849
2020,62,0,254.67168
2020,63,0,241.077476
2020,64,0,286.803439
2020,65,0,389.377895
2020,66,0,473.414798
2020,67,0,525.319945
2020,68,0,577.225091
2020,69,0,629.130238
2020,70,0,684.742896
2020,71,0,735.412205
2020,72,0,788.553189
2020,73,0,851.580867
2020,74,0,917.080218
2020,75,0,983.815406
2020,76,0,1019.654674
2020,77,0,1056.729779
2020,78,0,1083.918189
2020,79,0,1109.870763
2020,80,0,1123.464967
2020,81,0,1059.201453
2020,82,0,914.608544
2020,83,0,787.317352
2020,84,0,679.799547
2020,85,0,609.35685
2020,86,0,584.640112
2020,87,0,578.460928
2020,88,0,613.06436
2020,89,0,699.572937
2020,90,0,770.015636
2020,91,0,820.684946
2020,92,0,870.118418
2020,93,0,922.023565
2020,94,0,972.692876
2020,95,0,1023.362185
2020,96,0,1071.559821
2020,97,0,1106.163252
2020,98,0,1139.530845
2020,99,0,1174.134277
2020,100,0,1190.200157
2020,101,0,1208.737708
2020,102,0,1224.803588
2020,103,0,1234.690281
2020,104,0,1239.633629
2020,105,0,1174.134277
2020,106,0,1025.833858
2020,107,0,888.655971
2020,108,0,761.364778
2020,109,0,672.384527
2020,110,0,618.007708
2020,111,0,605.649339
2020,112,0,642.724444
2020,113,0,724.289673
2020,114,0,789.789026
2020,115,0,835.514987
2020,116,0,877.53344
2020,117,0,922.023565
2020,118,0,964.042018
2020,119,0,1008.532142
2020,120,0,1053.022268
2020,121,0,1093.804884
2020,122,0,1138.29501
2020,123,0,1184.020971
2020,124,0,1211.209382
2020,125,0,1229.746934
2020,126,0,1250.756161
2020,127,0,1266.822039
2020,128,0,1276.708734
2020,129,0,1230.982771
2020,130,0,1117.285783
