year,period,Import_capacity,export_capacity,total_imports,total_exports
1,1,4050,3700,1123.47,0
1,2,4050,3700,1190.87,0
1,3,4050,3700,1212.86,0
1,4,4050,3700,1216.88,0
1,5,4050,3700,1198.13,0
1,6,4050,3700,1063,0
1,7,4050,3700,1073.09,0
1,8,4050,3700,1061.85,0
1,9,4050,3700,1040.12,0
1,10,4050,3700,1009.57,0
1,11,4050,3700,983.69,0
1,12,4050,3700,957.67,0
1,13,4050,3700,946.44,0
1,14,4050,3700,926.24,0
1,15,4050,3700,912.26,0
1,16,4050,3700,809.87,0
1,17,4050,3700,869.87,0
1,18,4050,3700,850.21,0
1,19,4050,3700,841.28,16.13310587
1,20,4050,3700,921.38,0
1,21,4050,3700,1003.31,0
1,22,4050,3700,1003.39,0
1,23,4050,3700,1103.47,0
1,24,4050,3700,1173.11,0
1,25,4050,3700,1163.83,0
1,26,4050,3700,1154.11,0
1,27,4050,3700,1190.22,0
1,28,4050,3700,1192.48,0
1,29,4050,3700,1184.62,0
1,30,4050,3700,1095.19,0
1,31,4050,3700,1041.71,0
1,32,4050,3700,976.24,0
1,33,4050,3700,969.93,0
1,34,4050,3700,935.5,0
1,35,4050,3700,920.26,0
1,36,4050,3700,881.21,0
1,37,4050,3700,895.98,0
1,38,4050,3700,889.8,0
1,39,4050,3700,810.87,0
1,40,4050,3700,722.53,0
1,41,4050,3700,774.88,0
1,42,4050,3700,814.81,158.8869506
1,43,4050,3700,834.05,155.515969
1,44,4050,3700,951.81,159.139236
1,45,4050,3700,1012,17.75962727
1,46,4050,3700,1084.57,0
1,47,4050,3700,1145.29,0
1,48,4050,3700,1196.13,0
1,49,4050,3700,1243.1,0
1,50,4050,3700,1262.57,0
1,51,4050,3700,1197.62,0
1,52,4050,3700,1201.36,0
1,53,4050,3700,1233,0
1,54,4050,3700,1215.86,0
1,55,4050,3700,1184.24,0
1,56,4050,3700,1154.97,0
1,57,4050,3700,1048.53,0
1,58,4050,3700,993.16,0
1,59,4050,3700,895.97,0
1,60,4050,3700,885.34,0
1,61,4050,3700,871.89,0
1,62,4050,3700,859.24,0
1,63,4050,3700,834.28,0
1,64,4050,3700,820.03,0
1,65,4050,3700,779.58,0
1,66,4050,3700,835.88,0
1,67,4050,3700,836.4,0
1,68,4050,3700,823.62,0
1,69,4050,3700,919.43,0
1,70,4050,3700,908.12,0
1,71,4050,3700,955.43,0
1,72,4050,3700,970.61,0
1,73,4050,3700,983.71,0
1,74,4050,3700,988.94,0
1,75,4050,3700,999.47,0
1,76,4050,3700,1052.19,0
1,77,4050,3700,1068.73,0
1,78,4050,3700,1033.02,0
1,79,4050,3700,1080.8,0
1,80,4050,3700,1136.57,0
1,81,4050,3700,1093.95,0
1,82,4050,3700,1031.5,0
1,83,4050,3700,934.17,0
1,84,4050,3700,932.27,0
1,85,4050,3700,948.58,0
1,86,4050,3700,960.72,0
1,87,4050,3700,909.66,0
1,88,4050,3700,749.98,0
1,89,4050,3700,770.76,0
1,90,4050,3700,876.31,0
1,91,4050,3700,869.37,24.44115359
1,92,4050,3700,968.03,0
1,93,4050,3700,994.59,39.76603301
1,94,4050,3700,946,0
1,95,4050,3700,1024,0
1,96,4050,3700,1015.61,0
1,97,4050,3700,1077.67,0
1,98,4050,3700,1069.79,0
1,99,4050,3700,1065.73,0
1,100,4050,3700,1040.41,0
1,101,4050,3700,1058.1,0
1,102,4050,3700,905.63,0
1,103,4050,3700,921.88,0
1,104,4050,3700,848.56,0
1,105,4050,3700,858.03,0
1,106,4050,3700,813.44,0
1,107,4050,3700,778.49,0
1,108,4050,3700,720.27,0
1,109,4050,3700,747.57,0
1,110,4050,3700,733.93,0
1,111,4050,3700,743.1,0
1,112,4050,3700,694.97,0
1,113,4050,3700,680.2,60.78041277
1,114,4050,3700,691.28,231.9370986
1,115,4050,3700,707.71,220.0937844
1,116,4050,3700,791.91,144.2418429
1,117,4050,3700,798.51,136.349641
1,118,4050,3700,942.56,0
1,119,4050,3700,1041.22,0
1,120,4050,3700,983.25,0
1,121,4050,3700,993.33,0
1,122,4050,3700,955.44,0
1,123,4050,3700,957.23,0
1,124,4050,3700,976.6,0
1,125,4050,3700,939.33,0
1,126,4050,3700,756.29,0
1,127,4050,3700,666.76,0
1,128,4050,3700,684.21,0
1,129,4050,3700,690.65,0
1,130,4050,3700,663.53,0
1,131,4050,3700,621.95,0
1,132,4050,3700,601.91,0
1,133,4050,3700,594.37,0
1,134,4050,3700,618.45,0
1,135,4050,3700,656.56,25.44720578
1,136,4050,3700,633.31,75.36608371
1,137,4050,3700,642.3,132.348614
1,138,4050,3700,630.19,317.4248033
1,139,4050,3700,661.77,318.5038684
1,140,4050,3700,644.95,263.6059395
1,141,4050,3700,747.32,163.6907561
1,142,4050,3700,822.88,0
1,143,4050,3700,948.52,0
1,144,4050,3700,981.58,0
1,145,4050,3700,985.94,0
1,146,4050,3700,965.16,0
1,147,4050,3700,954.87,0
1,148,4050,3700,929.5,0
1,149,4050,3700,954.3,0
1,150,4050,3700,812.86,0
1,151,4050,3700,683.44,0
1,152,4050,3700,662.66,106.0225187
1,153,4050,3700,636.87,115.6345387
1,154,4050,3700,628.4,139.6020813
1,155,4050,3700,618.14,153.5578968
1,156,4050,3700,546.41,126.2141591
1,157,4050,3700,553.06,118.4715386
1,158,4050,3700,525.86,297.5806197
1,159,4050,3700,583.61,255.8109078
1,160,4050,3700,524.32,159.7458089
1,161,4050,3700,604.27,263.7907189
1,162,4050,3700,619.18,396.8356289
1,163,4050,3700,571.9,268.9639356
1,164,4050,3700,637.15,431.1497574
1,165,4050,3700,753.07,423.3355791
1,166,4050,3700,819.65,370.5329039
1,167,4050,3700,915.79,208.7417316
1,168,4050,3700,978.7,0
1,169,4050,3700,974.03,0
1,170,4050,3700,1013.3,0
1,171,4050,3700,1010.97,0
1,172,4050,3700,958.25,0
1,173,4050,3700,897.68,0
1,174,4050,3700,708.11,0
1,175,4050,3700,714.53,187.3808322
1,176,4050,3700,808.75,304.7726159
1,177,4050,3700,792.35,399.9401139
1,178,4050,3700,727.43,378.1761818
1,179,4050,3700,701.6,297.3229084
1,180,4050,3700,661.7,174.9198334
1,181,4050,3700,696.42,238.8406787
1,182,4050,3700,697.01,475.3752729
1,183,4050,3700,674.47,340.0080681
1,184,4050,3700,699.96,185.2623346
